"cname","year","ht_region","hf_govint","icrg_qog"
"Kuwait",2006,3,"46",0.5949074
"Kuwait",2007,3,"47",0.6111111
"Kuwait",2008,3,"48",0.6111111
"Kuwait",2009,3,"43",0.6111111
"Kuwait",2010,3,"43",0.6111111
"Lebanon",1999,3,"10",0.44444445
"Lebanon",2000,3,"10",0.44444445
"Lebanon",2001,3,"10",0.44444445
"Lebanon",2002,3,"10",0.44444445
"Lebanon",2003,3,"10",0.44444445
"Lebanon",2004,3,"10",0.44444445
"Lebanon",2005,3,"30",0.44444445
"Lebanon",2006,3,"27",0.44444445
"Lebanon",2007,3,"31",0.44444445
"Lebanon",2008,3,"36",0.44444445
"Lebanon",2009,3,"30",0.44444445
"Lebanon",2010,3,"30",0.49074075
"Lesotho",1999,4,"30",NA
"Lesotho",2000,4,"30",NA
"Lesotho",2001,4,"30",NA
"Lesotho",2002,4,"30",NA
"Lesotho",2003,4,"30",NA
"Lesotho",2004,4,"30",NA
"Lesotho",2005,4,"30",NA
"Lesotho",2006,4,"30",NA
"Lesotho",2007,4,"34",NA
"Lesotho",2008,4,"32",NA
"Lesotho",2009,4,"33",NA
"Lesotho",2010,4,"32",NA
"Liberia",1999,4,"",0.1712963
"Liberia",2000,4,"",0.25
"Liberia",2001,4,"",0.29166669
"Liberia",2002,4,"",0.22222222
"Liberia",2003,4,"",0.2175926
"Liberia",2004,4,"",0.23148148
"Liberia",2005,4,"",0.22222222
"Liberia",2006,4,"",0.24537037
"Liberia",2007,4,"",0.27777776
"Liberia",2008,4,"",0.27777776
"Liberia",2009,4,"21",0.2986111
"Liberia",2010,4,"24",0.28472221
"Libya",1999,3,"10",0.52777779
"Libya",2000,3,"10",0.52777779
"Libya",2001,3,"10",0.4537037
"Libya",2002,3,"10",0.41666669
"Libya",2003,3,"10",0.41666669
"Libya",2004,3,"10",0.41666669
"Libya",2005,3,"21",0.3888889
"Libya",2006,3,"25",0.3888889
"Libya",2007,3,"25",0.3888889
"Libya",2008,3,"27",0.3888889
"Libya",2009,3,"25",0.3888889
"Libya",2010,3,"26",0.3888889
"Madagascar",1999,4,"30",0.47222224
"Madagascar",2000,4,"30",0.47222224
"Madagascar",2001,4,"30",0.47222224
"Madagascar",2002,4,"30",0.42824075
"Madagascar",2003,4,"30",0.44444445
"Madagascar",2004,4,"17",0.44444445
"Madagascar",2005,4,"26",0.375
"Madagascar",2006,4,"31",0.44444445
"Madagascar",2007,4,"28",0.44444445
"Madagascar",2008,4,"31",0.44444445
"Madagascar",2009,4,"32",0.44444445
"Madagascar",2010,4,"34",0.40277779
"Malawi",1999,4,"30",0.55555558
"Malawi",2000,4,"41",0.55555558
"Malawi",2001,4,"41",0.5486111
"Malawi",2002,4,"41",0.44675925
"Malawi",2003,4,"32",0.44444445
"Malawi",2004,4,"29",0.44444445
"Malawi",2005,4,"28",0.44444445
"Malawi",2006,4,"28",0.44444445
"Malawi",2007,4,"28",0.4375
"Malawi",2008,4,"27",0.42708334
"Malawi",2009,4,"27",0.45833334
"Malawi",2010,4,"28",0.49768519
"Mali",1999,4,"10",0.27777779
"Mali",2000,4,"10",0.27777779
"Mali",2001,4,"10",0.27777779
"Mali",2002,4,"10",0.2962963
"Mali",2003,4,"10",0.33333334
"Mali",2004,4,"10",0.29166666
"Mali",2005,4,"30",0.27777779
"Mali",2006,4,"32",0.27777779
"Mali",2007,4,"29",0.27777779
"Mali",2008,4,"28",0.27777779
"Mali",2009,4,"27",0.27777779
"Mali",2010,4,"31",0.27777779
"Mauritania",1999,4,"30",NA
"Mauritania",2000,4,"30",NA
"Mauritania",2001,4,"30",NA
"Mauritania",2002,4,"30",NA
"Mauritania",2003,4,"30",NA
"Mauritania",2004,4,"30",NA
"Mauritania",2005,4,"30",NA
"Mauritania",2006,4,"30",NA
"Mauritania",2007,4,"30",NA
"Mauritania",2008,4,"31",NA
"Mauritania",2009,4,"26",NA
"Mauritania",2010,4,"28",NA
"Mauritius",1999,4,"50",NA
"Mauritius",2000,4,"50",NA
"Mauritius",2001,4,"49",NA
"Mauritius",2002,4,"47",NA
"Mauritius",2003,4,"45",NA
"Mauritius",2004,4,"45",NA
"Mauritius",2005,4,"44",NA
"Mauritius",2006,4,"41",NA
"Mauritius",2007,4,"42",NA
"Mauritius",2008,4,"51",NA
"Mauritius",2009,4,"47",NA
"Mauritius",2010,4,"55",NA
"Morocco",1999,3,"50",0.66666669
"Morocco",2000,3,"37",0.66666669
"Morocco",2001,3,"41",0.66666669
"Morocco",2002,3,"47",0.66666669
"Morocco",2003,3,"47",0.62037039
"Morocco",2004,3,"37",0.6111111
"Morocco",2005,3,"33",0.58333331
"Morocco",2006,3,"32",0.60648149
"Morocco",2007,3,"32",0.6111111
"Morocco",2008,3,"32",0.6111111
"Morocco",2009,3,"35",0.6111111
"Morocco",2010,3,"35",0.6111111
"Mozambique",1999,4,"10",0.3888889
"Mozambique",2000,4,"10",0.28703704
"Mozambique",2001,4,"35",0.27777779
"Mozambique",2002,4,"22",0.31481481
"Mozambique",2003,4,"22",0.33333334
"Mozambique",2004,4,"22",0.33333334
"Mozambique",2005,4,"27",0.33333334
"Mozambique",2006,4,"28",0.33333334
"Mozambique",2007,4,"28",0.3425926
"Mozambique",2008,4,"28",0.3611111
"Mozambique",2009,4,"28",0.3611111
"Mozambique",2010,4,"26",0.3611111
"Oman",1999,3,"70",0.6111111
"Oman",2000,3,"70",0.6111111
"Oman",2001,3,"70",0.59722221
"Oman",2002,3,"70",0.58333331
"Oman",2003,3,"70",0.58333331
"Oman",2004,3,"70",0.58333331
"Oman",2005,3,"63",0.58333331
"Oman",2006,3,"61",0.58333331
"Oman",2007,3,"63",0.58333331
"Oman",2008,3,"54",0.58333331
"Oman",2009,3,"47",0.58333331
"Oman",2010,3,"55",0.58333331
"Namibia",1999,4,"50",0.66666669
"Namibia",2000,4,"53",0.66666669
"Namibia",2001,4,"53",0.64814818
"Namibia",2002,4,"54",0.58796299
"Namibia",2003,4,"54",0.58333331
"Namibia",2004,4,"57",0.56018519
"Namibia",2005,4,"47",0.52777779
"Namibia",2006,4,"41",0.52777779
"Namibia",2007,4,"43",0.52777779
"Namibia",2008,4,"41",0.58333331
"Namibia",2009,4,"45",0.58333331
"Namibia",2010,4,"45",0.60416663
"Niger",1999,4,"10",0.19444445
"Niger",2000,4,"10",0.25
"Niger",2001,4,"10",0.25
"Niger",2002,4,"10",0.25
"Niger",2003,4,"10",0.25
"Niger",2004,4,"10",0.25
"Niger",2005,4,"10",0.25
"Niger",2006,4,"22",0.25
"Niger",2007,4,"24",0.2662037
"Niger",2008,4,"23",0.3125
"Niger",2009,4,"26",0.31944445
"Niger",2010,4,"28",0.31944445
"Nigeria",1999,4,"18",0.2638889
"Nigeria",2000,4,"19",0.30555555
"Nigeria",2001,4,"16",0.2824074
"Nigeria",2002,4,"12",0.22222222
"Nigeria",2003,4,"10",0.22222222
"Nigeria",2004,4,"16",0.22222222
"Nigeria",2005,4,"14",0.25
"Nigeria",2006,4,"16",0.27777779
"Nigeria",2007,4,"19",0.27777779
"Nigeria",2008,4,"22",0.27777779
"Nigeria",2009,4,"22",0.27777779
"Nigeria",2010,4,"27",0.27777779
"Guinea-Bissau",1999,4,"10",0.25
"Guinea-Bissau",2000,4,"10",0.25
"Guinea-Bissau",2001,4,"10",0.25
"Guinea-Bissau",2002,4,"10",0.25
"Guinea-Bissau",2003,4,"10",0.25
"Guinea-Bissau",2004,4,"10",0.32407409
"Guinea-Bissau",2005,4,"10",0.3611111
"Guinea-Bissau",2006,4,"10",0.39930555
"Guinea-Bissau",2007,4,"10",0.40277779
"Guinea-Bissau",2008,4,"10",0.37962964
"Guinea-Bissau",2009,4,"22",0.375
"Guinea-Bissau",2010,4,"19",0.375
"Qatar",1999,3,"90",0.6111111
"Qatar",2000,3,"90",0.6111111
"Qatar",2001,3,"70",0.6111111
"Qatar",2002,3,"70",0.58333337
"Qatar",2003,3,"70",0.55555558
"Qatar",2004,3,"70",0.55555558
"Qatar",2005,3,"56",0.58333331
"Qatar",2006,3,"52",0.58333331
"Qatar",2007,3,"59",0.58333331
"Qatar",2008,3,"60",0.58333331
"Qatar",2009,3,"60",0.58333331
"Qatar",2010,3,"65",0.58333331
"Rwanda",1999,4,"10",NA
"Rwanda",2000,4,"10",NA
"Rwanda",2001,4,"10",NA
"Rwanda",2002,4,"10",NA
"Rwanda",2003,4,"10",NA
"Rwanda",2004,4,"10",NA
"Rwanda",2005,4,"10",NA
"Rwanda",2006,4,"10",NA
"Rwanda",2007,4,"21",NA
"Rwanda",2008,4,"25",NA
"Rwanda",2009,4,"28",NA
"Rwanda",2010,4,"30",NA
"Sao Tome and Principe",1999,4,"",NA
"Sao Tome and Principe",2000,4,"",NA
"Sao Tome and Principe",2001,4,"",NA
"Sao Tome and Principe",2002,4,"",NA
"Sao Tome and Principe",2003,4,"",NA
"Sao Tome and Principe",2004,4,"",NA
"Sao Tome and Principe",2005,4,"",NA
"Sao Tome and Principe",2006,4,"",NA
"Sao Tome and Principe",2007,4,"",NA
"Sao Tome and Principe",2008,4,"",NA
"Sao Tome and Principe",2009,4,"27",NA
"Sao Tome and Principe",2010,4,"27",NA
"Saudi Arabia",1999,3,"70",0.55555558
"Saudi Arabia",2000,3,"70",0.55555558
"Saudi Arabia",2001,3,"70",0.55555558
"Saudi Arabia",2002,3,"70",0.55555558
"Saudi Arabia",2003,3,"50",0.55555558
"Saudi Arabia",2004,3,"50",0.55555558
"Saudi Arabia",2005,3,"45",0.55555558
"Saudi Arabia",2006,3,"34",0.55555558
"Saudi Arabia",2007,3,"34",0.55555558
"Saudi Arabia",2008,3,"33",0.55555558
"Saudi Arabia",2009,3,"34",0.55555558
"Saudi Arabia",2010,3,"35",0.5763889
"Senegal",1999,4,"50",0.41666666
"Senegal",2000,4,"33",0.41666666
"Senegal",2001,4,"34",0.41666666
"Senegal",2002,4,"35",0.3888889
"Senegal",2003,4,"29",0.3888889
"Senegal",2004,4,"31",0.3888889
"Senegal",2005,4,"32",0.3888889
"Senegal",2006,4,"30",0.3888889
"Senegal",2007,4,"32",0.3888889
"Senegal",2008,4,"33",0.37037036
"Senegal",2009,4,"36",0.3611111
"Senegal",2010,4,"34",0.3611111
"Seychelles",1999,4,"",NA
"Seychelles",2000,4,"",NA
"Seychelles",2001,4,"",NA
"Seychelles",2002,4,"",NA
"Seychelles",2003,4,"",NA
"Seychelles",2004,4,"",NA
"Seychelles",2005,4,"",NA
"Seychelles",2006,4,"",NA
"Seychelles",2007,4,"",NA
"Seychelles",2008,4,"",NA
"Seychelles",2009,4,"45",NA
"Seychelles",2010,4,"48",NA
"Sierra Leone",1999,4,"10",0.33333334
"Sierra Leone",2000,4,"10",0.33333334
"Sierra Leone",2001,4,"",0.33333334
"Sierra Leone",2002,4,"",0.31944445
"Sierra Leone",2003,4,"10",0.30555555
"Sierra Leone",2004,4,"10",0.31944445
"Sierra Leone",2005,4,"22",0.2824074
"Sierra Leone",2006,4,"23",0.27777776
"Sierra Leone",2007,4,"24",0.27777776
"Sierra Leone",2008,4,"22",0.27777776
"Sierra Leone",2009,4,"21",0.2824074
"Sierra Leone",2010,4,"19",0.30555555
"Somalia",1999,4,"",0.16666667
"Somalia",2000,4,"",0.16666667
"Somalia",2001,4,"",0.16666667
"Somalia",2002,4,"",0.16666667
"Somalia",2003,4,"",0.16666667
"Somalia",2004,4,"",0.11805556
"Somalia",2005,4,"",0.083333336
"Somalia",2006,4,"",0.083333336
